{6.448,8654358422; 1.442,7226909932; 0}
{6.342,2146207011; 1.441,288235937; 0}
{6.236,0599873219; 1.438,2531342597; 0}
{6.119,7733244053; 1.436,1119740988; 0}
{6.010,5555666652; 1.429,7939960027; 0}
{5.900,4063930251; 1.421,7469280528; 0}
{5.795,1818160371; 1.415,0537603193; 0}
{5.684,1687437725; 1.412,10950363; 0}
{5.580,2374941288; 1.409,5054629072; 0}
{5.469,9329892675; 1.404,1901844472; 0}
{5.367,0142288549; 1.395,9563175972; 0}
{5.259,5632078411; 1.394,8026278111; 0}
{5.165,1062248988; 1.397,6422555248; 0}
{5.057,6275578456; 1.394,6459775368; 0}
{4.952,3663545049; 1.398,0478994507; 0}
{4.850,3433755947; 1.392,1074623067; 0}
{4.755,7492352462; 1.385,9326324578; 0}
{4.650,9756216354; 1.371,6583586092; 0}
{4.549,0952874537; 1.358,8970329302; 0}
{4.441,6840309166; 1.336,5633627335; 0}
{4.343,7754292123; 1.321,3906489492; 0}
{4.243,9721080804; 1.300,5874317955; 0}
{4.147,6459372506; 1.282,8579828532; 0}
{4.043,3262867041; 1.261,7805413948; 0}
{3.940,540469174; 1.248,986085849; 0}
{3.842,7939957039; 1.236,5420689001; 0}
{3.749,1624664083; 1.228,5745047404; 0}
{3.651,1258940604; 1.221,4322625073; 0}
{3.552,651168321; 1.219,5376182628; 0}
{3.446,7238947845; 1.211,4268776914; 0}
{3.344,1049039695; 1.210,570243386; 0}
{3.243,7550357905; 1.207,8188165388; 0}
{3.151,2375266875; 1.205,3899924699; 0}
{3.048,8531630862; 1.199,8558655693; 0}
{2.950,5851991058; 1.200,7676499588; 0}
{2.843,4063654801; 1.204,2682297872; 0}
{2.743,6834094815; 1.208,9382579779; 0}
{2.638,5221086998; 1.210,0003600338; 0}
{2.541,2204819332; 1.213,469030857; 0}
{2.434,3784352298; 1.214,1767853502; 0}
{2.333,8316345616; 1.216,593649783; 0}
{2.220,1906377436; 1.225,3156228857; 0}
{2.115,6127158957; 1.229,2917075135; 0}
{2.002,400046722; 1.232,6954511203; 0}
{1.897,1075074428; 1.233,7749466814; 0}
{1.785,7873255195; 1.238,0161984125; 0}
{1.682,5052811275; 1.240,771084716; 0}
{1.580,7310403358; 1.252,0146336217; 0}
{1.528,9142658312; 1.319,0538758073; 0}
{1.508,8456494826; 1.421,3019671227; 0}
{1.487,4195540716; 1.517,8574107899; 0}
{1.464,016862195; 1.627,3844025032; 0}
{1.437,438911548; 1.724,5107493896; 0}
{1.410,9915313031; 1.825,0166867591; 0}
{1.388,1330951105; 1.918,1709874805; 0}
{1.367,3239004718; 2.018,3628291235; 0}
{1.351,7633185777; 2.116,3351816302; 0}
{1.338,4134843124; 2.219,5500040727; 0}
{1.321,2267983304; 2.315,1922639257; 0}
{1.309,1542437424; 2.419,9324845358; 0}
{1.310,0349674428; 2.516,4106424065; 0}
{1.311,758897025; 2.617,256145524; 0}
{1.311,3646181594; 2.713,8440096127; 0}
{1.310,085355693; 2.819,2798527113; 0}
{1.305,7403723537; 2.916,8152621693; 0}
{1.293,6556994966; 3.017,4143942936; 0}
{1.284,195044741; 3.111,5420401256; 0}
{1.268,8880648247; 3.208,8858129262; 0}
{1.268,7860673657; 3.271,0729279186; 0}
{1.283,2504322892; 3.348,2034168488; 0}
{1.290,0919098103; 3.422,5319769753; 0}
{1.291,4466606178; 3.503,1170485613; 0}
{1.287,9708645698; 3.564,3432282926; 0}
{1.283,9992395879; 3.619,9066116836; 0}
{1.279,8627886218; 3.735,6665478658; 0}
{1.265,3691024895; 3.841,4743629185; 0}
{1.240,4284837114; 3.942,3272124011; 0}
{1.222,6038922353; 4.030,3290925619; 0}
{1.200,0068676672; 4.121,8785461579; 0}
{1.176,8833405744; 4.218,8698440207; 0}
{1.154,3625199554; 4.317,5094626393; 0}
{1.139,8194803499; 4.416,6822502807; 0}
{1.122,0847236313; 4.512,0273510636; 0}
{1.110,7490805433; 4.611,2160946089; 0}
{1.105,2363232382; 4.714,3118139666; 0}
{1.100,1737629264; 4.817,090618477; 0}
{1.091,902222308; 4.917,4325433458; 0}
{1.076,5427110124; 5.021,6270432698; 0}
{1.060,7640481742; 5.124,0858385108; 0}
{1.050,1281337237; 5.230,6549622388; 0}
{1.045,4254068293; 5.328,2242053081; 0}
{1.055,0842020961; 5.426,3091479289; 0}
{1.136,8207832628; 5.440,7548103454; 0}
{1.244,6015917304; 5.442,3738958965; 0}
{1.337,0534288749; 5.443,4407584316; 0}
{1.445,0423555804; 5.450,2418712262; 0}
{1.542,1659554793; 5.453,895541441; 0}
{1.642,6077003466; 5.459,1996312845; 0}
{1.735,7495303044; 5.466,4495471461; 0}
{1.843,4331789928; 5.472,9630735328; 0}
{1.941,9186440037; 5.485,5057077005; 0}
{2.046,8738270526; 5.498,0740574329; 0}
{2.146,4443999107; 5.492,7141822588; 0}
{2.247,0261972131; 5.488,1671466866; 0}
{2.344,4731965521; 5.483,2393242675; 0}
{2.457,4124514981; 5.473,6904498828; 0}
{2.567,4038618909; 5.462,573228852; 0}
{2.668,9345824134; 5.453,6702754519; 0}
